"","ST","F_DH","F_SDH","F_CHC_R","F_PHC_R","OBGY_CHC_R_S","OBGY_CHC_R_P","SUR_CHC_R_S","SUR_CHC_R_P","PAED_CHC_R_S","PAED_CHC_R_P","PHY_CHC_R_S","PHY_CHC_R_P","DOC_PHC_R_S","DOC_PHC_R_P","GDMO_AL_CHC_R_S","GDMO_AL_CHC_R_P","DOC_DH_S","DOC_DH_P","DOC_SDH_S","DOC_SDH_P","NURSE_CHC_R_S","NURSE_CHC_R_P","NURSE_PHC_R_S","NURSE_PHC_R_P","OBGY_CHC_R_WISN","SUR_CHC_R_WISN","PAED_CHC_R_WISN","PHY_CHC_R_WISN","DOC_PHC_R_WISN","GDMO_AL_CHC_R_WISN","NURSE_CHC_R_WISN","NURSE_PHC_R_WISN","OBGY_CHC_R_WISN_Lower","SUR_CHC_R_WISN_Lower","PAED_CHC_R_WISN_Lower","PHY_CHC_R_WISN_Lower","DOC_PHC_R_WISN_Lower","GDMO_AL_CHC_R_WISN_Lower","NURSE_CHC_R_WISN_Lower","NURSE_PHC_R_WISN_Lower","OBGY_CHC_R_WISN_Upper","SUR_CHC_R_WISN_Upper","PAED_CHC_R_WISN_Upper","PHY_CHC_R_WISN_Upper","DOC_PHC_R_WISN_Upper","GDMO_AL_CHC_R_WISN_Upper","NURSE_CHC_R_WISN_Upper","NURSE_PHC_R_WISN_Upper","OBGY_CHC_R_P_WISN_diff","OBGY_CHC_R_P_WISN_ratio","OBGY_CHC_R_S_WISN_diff","OBGY_CHC_R_P_WISN_diff_per_centre","OBGY_CHC_R_S_WISN_diff_per_centre","SUR_CHC_R_P_WISN_diff","SUR_CHC_R_P_WISN_ratio","SUR_CHC_R_S_WISN_diff","SUR_CHC_R_P_WISN_diff_per_centre","SUR_CHC_R_S_WISN_diff_per_centre","PAED_CHC_R_P_WISN_diff","PAED_CHC_R_P_WISN_ratio","PAED_CHC_R_S_WISN_diff","PAED_CHC_R_P_WISN_diff_per_centre","PAED_CHC_R_S_WISN_diff_per_centre","PHY_CHC_R_P_WISN_diff","PHY_CHC_R_P_WISN_ratio","PHY_CHC_R_S_WISN_diff","PHY_CHC_R_P_WISN_diff_per_centre","PHY_CHC_R_S_WISN_diff_per_centre","DOC_PHC_R_P_WISN_diff","DOC_PHC_R_P_WISN_ratio","DOC_PHC_R_S_WISN_diff","DOC_PHC_R_P_WISN_diff_per_centre","DOC_PHC_R_S_WISN_diff_per_centre","GDMO_AL_CHC_R_P_WISN_diff","GDMO_AL_CHC_R_P_WISN_ratio","GDMO_AL_CHC_R_S_WISN_diff","GDMO_AL_CHC_R_P_WISN_diff_per_centre","GDMO_AL_CHC_R_S_WISN_diff_per_centre","NURSE_CHC_R_P_WISN_diff","NURSE_CHC_R_P_WISN_ratio","NURSE_CHC_R_S_WISN_diff","NURSE_CHC_R_P_WISN_diff_per_centre","NURSE_CHC_R_S_WISN_diff_per_centre","NURSE_PHC_R_P_WISN_diff","NURSE_PHC_R_P_WISN_ratio","NURSE_PHC_R_S_WISN_diff","NURSE_PHC_R_P_WISN_diff_per_centre","NURSE_PHC_R_S_WISN_diff_per_centre","OBGY_CHC_R_P_WISN_diff_workforce_problem","OBGY_CHC_R_P_WISN_diff_per_centre_workforce_problem","SUR_CHC_R_P_WISN_diff_workforce_problem","SUR_CHC_R_P_WISN_diff_per_centre_workforce_problem","PAED_CHC_R_P_WISN_diff_workforce_problem","PAED_CHC_R_P_WISN_diff_per_centre_workforce_problem","PHY_CHC_R_P_WISN_diff_workforce_problem","PHY_CHC_R_P_WISN_diff_per_centre_workforce_problem","DOC_PHC_R_P_WISN_diff_workforce_problem","DOC_PHC_R_P_WISN_diff_per_centre_workforce_problem","GDMO_AL_CHC_R_P_WISN_diff_workforce_problem","GDMO_AL_CHC_R_P_WISN_diff_per_centre_workforce_problem","NURSE_CHC_R_P_WISN_diff_workforce_problem","NURSE_CHC_R_P_WISN_diff_per_centre_workforce_problem","NURSE_PHC_R_P_WISN_diff_workforce_problem","NURSE_PHC_R_P_WISN_diff_per_centre_workforce_problem","OBGY_CHC_R_P_WISN_ratio_workforce_pressure","SUR_CHC_R_P_WISN_ratio_workforce_pressure","PAED_CHC_R_P_WISN_ratio_workforce_pressure","PHY_CHC_R_P_WISN_ratio_workforce_pressure","DOC_PHC_R_P_WISN_ratio_workforce_pressure","GDMO_AL_CHC_R_P_WISN_ratio_workforce_pressure","NURSE_CHC_R_P_WISN_ratio_workforce_pressure","NURSE_PHC_R_P_WISN_ratio_workforce_pressure","OBGY_CHC_R_S_WISN_diff_sanctioning_problem","OBGY_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","SUR_CHC_R_S_WISN_diff_sanctioning_problem","SUR_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","PAED_CHC_R_S_WISN_diff_sanctioning_problem","PAED_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","PHY_CHC_R_S_WISN_diff_sanctioning_problem","PHY_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","DOC_PHC_R_S_WISN_diff_sanctioning_problem","DOC_PHC_R_S_WISN_diff_per_centre_sanctioning_problem","GDMO_AL_CHC_R_S_WISN_diff_sanctioning_problem","GDMO_AL_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","NURSE_CHC_R_S_WISN_diff_sanctioning_problem","NURSE_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","NURSE_PHC_R_S_WISN_diff_sanctioning_problem","NURSE_PHC_R_S_WISN_diff_per_centre_sanctioning_problem"
"1","Andhra Pradesh",14,28,140,NA,126,102,22,17,101,82,46,36,1862,1715,356,263,551,406,684,395,1058,941,2132,1920,280,280,280,280,NA,560,6300,NA,140,280,280,280,NA,420,5880,NA,280,280,280,280,NA,560,6860,NA,-178,0.364285714285714,-154,-1.27142857142857,-1.1,-263,0.0607142857142857,-258,-1.87857142857143,-1.84285714285714,-198,0.292857142857143,-179,-1.41428571428571,-1.27857142857143,-244,0.128571428571429,-234,-1.74285714285714,-1.67142857142857,NA,NA,NA,NA,NA,-297,0.469642857142857,-204,-2.12142857142857,-1.45714285714286,-5359,0.149365079365079,-5242,-38.2785714285714,-37.4428571428571,NA,NA,NA,NA,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage",NA,NA,"Shortage","Shortage","Shortage","Shortage",NA,NA,"High","Very High","High","Very High",NA,"High","Very High",NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning",NA,NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning",NA,NA
"2","Arunachal Pradesh",17,0,63,101,NA,3,NA,1,NA,0,NA,0,NA,116,NA,115,NA,699,NA,NA,NA,451,NA,166,126,126,126,126,202,252,2835,1515,63,126,126,126,202,189,2646,1313,126,126,126,126,303,252,3087,1616,-123,0.0238095238095238,NA,-1.95238095238095,NA,-125,0.00793650793650794,NA,-1.98412698412698,NA,-126,0,NA,-2,NA,-126,0,NA,-2,NA,-86,0.574257425742574,NA,-0.851485148514851,NA,-137,0.456349206349206,NA,-2.17460317460317,NA,-2384,0.159082892416226,NA,-37.8412698412698,NA,-1349,0.10957095709571,NA,-13.3564356435644,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","High","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Assam",25,14,177,698,NA,82,NA,6,NA,42,NA,6,NA,1925,NA,462,NA,774,NA,423,NA,1192,NA,2177,354,354,354,354,1396,708,7965,10470,177,354,354,354,1396,531,7434,9074,354,354,354,354,2094,708,8673,11168,-272,0.231638418079096,NA,-1.53672316384181,NA,-348,0.0169491525423729,NA,-1.96610169491525,NA,-312,0.11864406779661,NA,-1.76271186440678,NA,-348,0.0169491525423729,NA,-1.96610169491525,NA,529,1.37893982808023,NA,0.757879656160458,NA,-246,0.652542372881356,NA,-1.38983050847458,NA,-6773,0.149654739485248,NA,-38.2655367231638,NA,-8293,0.20792741165234,NA,-11.8810888252149,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","Medium","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Bihar",36,55,150,1480,NA,30,NA,13,NA,31,NA,8,NA,2085,NA,714,888,1301,55,286,NA,334,NA,1296,300,300,300,300,2960,600,6750,22200,150,300,300,300,2960,450,6300,19240,300,300,300,300,4440,600,7350,23680,-270,0.1,NA,-1.8,NA,-287,0.0433333333333333,NA,-1.91333333333333,NA,-269,0.103333333333333,NA,-1.79333333333333,NA,-292,0.0266666666666667,NA,-1.94666666666667,NA,-875,0.704391891891892,NA,-0.591216216216216,NA,114,1.19,NA,0.76,NA,-6416,0.0494814814814815,NA,-42.7733333333333,NA,-20904,0.0583783783783784,NA,-14.1243243243243,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","None","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Chhattisgarh",26,20,170,657,170,18,167,11,167,22,167,10,792,321,488,607,1042,725,176,64,1891,1543,1535,1075,340,340,340,340,1314,680,7650,9855,170,340,340,340,1314,510,7140,8541,340,340,340,340,1971,680,8330,10512,-322,0.0529411764705882,-170,-1.89411764705882,-1,-329,0.0323529411764706,-173,-1.93529411764706,-1.01764705882353,-318,0.0647058823529412,-173,-1.87058823529412,-1.01764705882353,-330,0.0294117647058824,-173,-1.94117647058824,-1.01764705882353,-993,0.244292237442922,-522,-1.51141552511416,-0.794520547945205,-73,0.892647058823529,-192,-0.429411764705882,-1.12941176470588,-6107,0.201699346405229,-5759,-35.9235294117647,-33.8764705882353,-8780,0.10908168442415,-8320,-13.3637747336377,-12.6636225266362,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Very High","Low","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"6","Goa",2,2,5,NA,2,1,2,1,0,2,1,1,48,56,12,10,86,72,151,85,57,62,72,73,10,10,10,10,NA,20,225,NA,5,10,10,10,NA,15,210,NA,10,10,10,10,NA,20,245,NA,-9,0.1,-8,-1.8,-1.6,-9,0.1,-8,-1.8,-1.6,-8,0.2,-10,-1.6,-2,-9,0.1,-9,-1.8,-1.8,NA,NA,NA,NA,NA,-10,0.5,-8,-2,-1.6,-163,0.275555555555556,-168,-32.6,-33.6,NA,NA,NA,NA,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage",NA,NA,"Shortage","Shortage","Shortage","Shortage",NA,NA,"Very High","Very High","Very High","Very High",NA,"High","High",NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning",NA,NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning",NA,NA
"7","Gujarat",22,36,362,704,88,48,363,31,88,30,62,9,2639,2186,1151,955,413,251,477,179,2676,2510,2554,1708,724,724,724,724,1408,1448,16290,10560,362,724,724,724,1408,1086,15204,9152,724,724,724,724,2112,1448,17738,11264,-676,0.0662983425414365,-636,-1.86740331491713,-1.75690607734807,-693,0.0428176795580111,-361,-1.91436464088398,-0.997237569060773,-694,0.0414364640883978,-636,-1.9171270718232,-1.75690607734807,-715,0.0124309392265193,-662,-1.97513812154696,-1.82872928176796,778,1.55255681818182,1231,1.10511363636364,1.74857954545455,-493,0.659530386740331,-297,-1.36187845303867,-0.820441988950276,-13780,0.154082259054635,-13614,-38.0662983425414,-37.6077348066298,-8852,0.161742424242424,-8006,-12.5738636363636,-11.3721590909091,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","Medium","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"8","Haryana",22,21,115,193,18,6,NA,3,18,5,15,1,684,542,583,405,821,1049,393,269,1134,1034,1221,1076,230,230,230,230,386,460,5175,2895,115,230,230,230,386,345,4830,2509,230,230,230,230,579,460,5635,3088,-224,0.0260869565217391,-212,-1.94782608695652,-1.84347826086957,-227,0.0130434782608696,NA,-1.97391304347826,NA,-225,0.0217391304347826,-212,-1.95652173913043,-1.84347826086957,-229,0.00434782608695652,-215,-1.99130434782609,-1.8695652173913,156,1.40414507772021,298,0.808290155440414,1.5440414507772,-55,0.880434782608696,123,-0.478260869565217,1.0695652173913,-4141,0.199806763285024,-4041,-36.0086956521739,-35.1391304347826,-1819,0.37167530224525,-1674,-9.42487046632124,-8.67357512953368,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","Low","Very High","High","Under sanctioning","Under sanctioning",NA,NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"9","Himachal Pradesh",12,78,87,566,NA,1,NA,0,NA,2,NA,2,722,486,344,208,345,354,643,540,328,184,514,220,174,174,174,174,1132,348,3915,8490,87,174,174,174,1132,261,3654,7358,174,174,174,174,1698,348,4263,9056,-173,0.00574712643678161,NA,-1.98850574712644,NA,-174,0,NA,-2,NA,-172,0.0114942528735632,NA,-1.97701149425287,NA,-172,0.0114942528735632,NA,-1.97701149425287,NA,-646,0.429328621908127,-410,-1.14134275618375,-0.724381625441696,-140,0.597701149425287,-4,-1.60919540229885,-0.0459770114942529,-3731,0.0469987228607918,-3587,-42.8850574712644,-41.2298850574713,-8270,0.0259128386336867,-7976,-14.6113074204947,-14.0918727915194,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","High","Medium","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"10","Jammu & Kashmir",23,0,84,526,87,64,89,55,61,51,107,72,1542,919,751,621,1016,939,NA,NA,999,865,845,648,168,168,168,168,1052,336,3780,7890,84,168,168,168,1052,252,3528,6838,168,168,168,168,1578,336,4116,8416,-104,0.380952380952381,-81,-1.23809523809524,-0.964285714285714,-113,0.327380952380952,-79,-1.3452380952381,-0.94047619047619,-117,0.303571428571429,-107,-1.39285714285714,-1.27380952380952,-96,0.428571428571429,-61,-1.14285714285714,-0.726190476190476,-133,0.873574144486692,490,-0.252851711026616,0.931558935361217,285,1.84821428571429,415,3.39285714285714,4.94047619047619,-2915,0.228835978835979,-2781,-34.7023809523809,-33.1071428571429,-7242,0.0821292775665399,-7045,-13.7680608365019,-13.393536121673,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","High","High","High","High","Low","None","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"11","Jharkhand",23,13,171,203,171,29,171,19,187,16,171,2,667,336,849,646,984,671,265,77,2390,1129,409,61,342,342,342,342,406,684,7695,3045,171,342,342,342,406,513,7182,2639,342,342,342,342,609,684,8379,3248,-313,0.0847953216374269,-171,-1.83040935672515,-1,-323,0.0555555555555556,-171,-1.88888888888889,-1,-326,0.0467836257309941,-155,-1.90643274853801,-0.906432748538012,-340,0.00584795321637427,-171,-1.98830409356725,-1,-70,0.827586206896552,261,-0.344827586206897,1.28571428571429,-38,0.944444444444444,165,-0.222222222222222,0.964912280701754,-6566,0.146718648473034,-5305,-38.3976608187134,-31.0233918128655,-2984,0.0200328407224959,-2636,-14.6995073891626,-12.9852216748768,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Low","Low","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"12","Karnataka",15,146,198,1995,198,158,198,120,198,86,198,101,2127,2111,255,218,2088,1562,2398,1676,1203,1047,1569,2464,396,396,396,396,3990,792,8910,29925,198,396,396,396,3990,594,8316,25935,396,396,396,396,5985,792,9702,31920,-238,0.398989898989899,-198,-1.2020202020202,-1,-276,0.303030303030303,-198,-1.39393939393939,-1,-310,0.217171717171717,-198,-1.56565656565657,-1,-295,0.255050505050505,-198,-1.48989898989899,-1,-1879,0.529072681704261,-1863,-0.941854636591479,-0.933834586466165,-574,0.275252525252525,-537,-2.8989898989899,-2.71212121212121,-7863,0.117508417508418,-7707,-39.7121212121212,-38.9242424242424,-27461,0.0823391812865497,-28356,-13.7649122807018,-14.2135338345865,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","High","High","Very High","High","Medium","High","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"13","Kerala",18,84,227,678,12,18,NA,1,11,14,2,2,1460,1531,759,989,87,502,488,624,1036,1168,1097,1259,454,454,454,454,1356,908,10215,10170,227,454,454,454,1356,681,9534,8814,454,454,454,454,2034,908,11123,10848,-436,0.039647577092511,-442,-1.92070484581498,-1.94713656387665,-453,0.00220264317180617,NA,-1.99559471365639,NA,-440,0.0308370044052863,-443,-1.93832599118943,-1.95154185022026,-452,0.00440528634361234,-452,-1.99118942731278,-1.99118942731278,175,1.12905604719764,104,0.25811209439528,0.153392330383481,81,1.08920704845815,-149,0.356828193832599,-0.656387665198238,-9047,0.11434165442976,-9179,-39.8546255506608,-40.4361233480176,-8911,0.123795476892822,-9073,-13.1430678466077,-13.382005899705,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","None","Very High","Very High","Under sanctioning","Under sanctioning",NA,NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"14","Madhya Pradesh",51,84,309,1039,309,30,309,27,309,22,309,25,2024,1053,2373,588,3540,1676,3149,515,3953,2202,1705,614,618,618,618,618,2078,1236,13905,15585,309,618,618,618,2078,927,12978,13507,618,618,618,618,3117,1236,15141,16624,-588,0.0485436893203883,-309,-1.90291262135922,-1,-591,0.0436893203883495,-309,-1.9126213592233,-1,-596,0.0355987055016181,-309,-1.92880258899676,-1,-593,0.040453074433657,-309,-1.91909385113269,-1,-1025,0.506737247353224,-54,-0.986525505293552,-0.0519730510105871,-648,0.475728155339806,1137,-2.09708737864078,3.67961165048544,-11703,0.158360302049622,-9952,-37.873786407767,-32.2071197411003,-14971,0.0393968559512352,-13880,-14.4090471607315,-13.3589990375361,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","High","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"15","Maharashtra",23,91,364,1349,244,211,202,29,224,200,153,45,3189,2951,512,486,1292,875,1362,1348,2124,2016,833,682,728,728,728,728,2698,1456,16380,20235,364,728,728,728,2698,1092,15288,17537,728,728,728,728,4047,1456,17836,21584,-517,0.289835164835165,-484,-1.42032967032967,-1.32967032967033,-699,0.0398351648351648,-526,-1.92032967032967,-1.44505494505495,-528,0.274725274725275,-504,-1.45054945054945,-1.38461538461538,-683,0.0618131868131868,-575,-1.87637362637363,-1.57967032967033,253,1.09377316530764,491,0.187546330615271,0.363973313565604,-970,0.333791208791209,-944,-2.66483516483516,-2.59340659340659,-14364,0.123076923076923,-14256,-39.4615384615385,-39.1648351648352,-19553,0.0337039782554979,-19402,-14.4944403261675,-14.3825055596738,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","High","Very High","High","Very High","None","High","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
